"gene_ids","gene_names"
"ENSG00000147381","MAGEA4"
"ENSG00000170465","KRT6C"
"ENSG00000169469","SPRR1B"
"ENSG00000126890","CTAG2"
"ENSG00000198054","DSCR8"
"ENSG00000178363","CALML3"
"ENSG00000099399","MAGEB2"
"ENSG00000226278","PSPHP1"
"ENSG00000158639","PAGE5"
"ENSG00000178372","CALML5"
"ENSG00000205420","KRT6A"
"ENSG00000203785","SPRR2E"
"ENSG00000124260","MAGEA10"
"ENSG00000169474","SPRR1A"
"ENSG00000124205","EDN3"
"ENSG00000241794","SPRR2A"
"ENSG00000105141","CASP14"
"ENSG00000131002","TXLNGY"
"ENSG00000198692","EIF1AY"
"ENSG00000186832","KRT16"
"ENSG00000185247","MAGEA11"
"ENSG00000270816","LINC00221"
"ENSG00000183878","UTY"
"ENSG00000159516","SPRR2G"
"ENSG00000143556","S100A7"
"ENSG00000057149","SERPINB3"
"ENSG00000187172","BAGE2"
"ENSG00000261761","LINC02616"
"ENSG00000198681","MAGEA1"
"ENSG00000167754","KLK5"
"ENSG00000182968","SOX1"
"ENSG00000254547","AC036111.1"
"ENSG00000167656","LY6D"
"ENSG00000169035","KLK7"
"ENSG00000206075","SERPINB5"
"ENSG00000229807","XIST"
"ENSG00000175497","DPP10"
"ENSG00000163207","IVL"
"ENSG00000184330","S100A7A"
"ENSG00000137440","FGFBP1"
"ENSG00000155495","MAGEC1"
"ENSG00000169550","MUC15"
"ENSG00000187772","LIN28B"
"ENSG00000067646","ZFY"
"ENSG00000253642","AF279873.3"
"ENSG00000206073","SERPINB4"
"ENSG00000113327","GABRG2"
"ENSG00000214107","MAGEB1"
"ENSG00000134757","DSG3"
"ENSG00000046774","MAGEC2"
"ENSG00000167768","KRT1"
"ENSG00000171401","KRT13"
"ENSG00000156269","NAA11"
"ENSG00000134760","DSG1"
"ENSG00000184029","DSCR4"
"ENSG00000230937","MIR205HG"
"ENSG00000163209","SPRR3"
"ENSG00000170454","KRT75"
"ENSG00000260958","AC023824.3"
"ENSG00000012817","KDM5D"
"ENSG00000114374","USP9Y"
"ENSG00000176728","TTTY14"
"ENSG00000227674","LINC00355"
"ENSG00000279516","FAM230C"
"ENSG00000183072","NKX2-5"
"ENSG00000248131","LINC01194"
"ENSG00000251026","LINC02163"
"ENSG00000227128","LBX1-AS1"
"ENSG00000197641","SERPINB13"
"ENSG00000129455","KLK8"
"ENSG00000067048","DDX3Y"
"ENSG00000165246","NLGN4Y"
"ENSG00000233379","AL139002.1"
"ENSG00000260073","AC023824.1"
"ENSG00000261010","RARRES2P6"
"ENSG00000188373","C10orf99"
"ENSG00000178934","LGALS7B"
"ENSG00000260197","AC010889.1"
"ENSG00000118733","OLFM3"
"ENSG00000234068","PAGE2"
"ENSG00000278630","LINC02335"
"ENSG00000170477","KRT4"
"ENSG00000163202","LCE3D"
"ENSG00000008196","TFAP2B"
"ENSG00000258616","LINC02303"
"ENSG00000229703","LYPD9P"
"ENSG00000251039","IGKV2D-40"
"ENSG00000203786","KPRP"
"ENSG00000126550","HTN1"
"ENSG00000167757","KLK11"
"ENSG00000125998","FAM83C"
"ENSG00000198033","TUBA3C"
"ENSG00000188508","KRTDAP"
"ENSG00000223812","AC073365.1"
"ENSG00000233515","LINC01518"
"ENSG00000151952","TMEM132D"
"ENSG00000203782","LOR"
"ENSG00000127928","GNGT1"
"ENSG00000261711","FRG2DP"
"ENSG00000109182","CWH43"
"ENSG00000185559","DLK1"
"ENSG00000251363","LINC02315"
"ENSG00000138136","LBX1"
"ENSG00000181092","ADIPOQ"
"ENSG00000205628","LINC01446"
"ENSG00000185479","KRT6B"
"ENSG00000120251","GRIA2"
"ENSG00000256417","AC006206.2"
"ENSG00000136695","IL36RN"
"ENSG00000143536","CRNN"
"ENSG00000147246","HTR2C"
"ENSG00000268902","CSAG2"
"ENSG00000265190","ANXA8"
"ENSG00000166049","PASD1"
"ENSG00000264985","AC124804.1"
"ENSG00000150244","TRIM48"
"ENSG00000172478","MAB21L4"
"ENSG00000172551","MUCL1"
"ENSG00000254101","LINC02055"
"ENSG00000235026","DPP10-AS1"
"ENSG00000211611","IGKV6-21"
"ENSG00000265933","LINC00668"
"ENSG00000250038","AC093791.1"
"ENSG00000099725","PRKY"
"ENSG00000250102","LINC02377"
"ENSG00000211599","IGKV5-2"
"ENSG00000169509","CRCT1"
"ENSG00000253898","LINC01419"
"ENSG00000261364","AC063923.2"
"ENSG00000249196","TMEM132D-AS1"
"ENSG00000248370","LINC02434"
"ENSG00000250682","LINC00491"
"ENSG00000205076","LGALS7"
"ENSG00000229131","AC016710.2"
"ENSG00000211639","IGLV4-60"
"ENSG00000197172","MAGEA6"
"ENSG00000280081","LINC01667"
"ENSG00000267051","AP005229.1"
"ENSG00000280061","AC011504.1"
"ENSG00000237339","LINC01502"
"ENSG00000259897","FRG2JP"
"ENSG00000068985","PAGE1"
"ENSG00000239268","AC092691.1"
"ENSG00000170423","KRT78"
"ENSG00000175121","WFDC5"
"ENSG00000134765","DSC1"
"ENSG00000259663","AC010478.1"
"ENSG00000172995","ARPP21"
"ENSG00000255429","AP003400.1"
"ENSG00000132204","LINC00470"
"ENSG00000251372","LINC00499"
"ENSG00000274391","TPTE"
"ENSG00000250125","LINC02232"
"ENSG00000225606","AC005281.1"
"ENSG00000233215","LINC01687"
"ENSG00000275830","AL390755.1"
"ENSG00000253998","IGKV2-29"
"ENSG00000205927","OLIG2"
"ENSG00000242599","CSAG4"
"ENSG00000189064","GAGE2A"
"ENSG00000188293","IGFL1"
"ENSG00000239508","PLCH1-AS1"
"ENSG00000016082","ISL1"
"ENSG00000211974","IGHV2-70D"
"ENSG00000196805","SPRR2B"
"ENSG00000166104","AC126323.1"
"ENSG00000124935","SCGB1D2"
"ENSG00000187173","LCE2A"
"ENSG00000244116","IGKV2-28"
"ENSG00000248515","AC024230.1"
"ENSG00000226141","AC244107.1"
"ENSG00000233639","PANTR1"
"ENSG00000197084","LCE1C"
"ENSG00000249413","AC116049.2"
"ENSG00000211665","IGLV3-16"
"ENSG00000230426","ERVMER61-1"
"ENSG00000205649","HTN3"
"ENSG00000249395","CASC9"
"ENSG00000236719","OVAAL"
"ENSG00000176204","LRRTM4"
"ENSG00000257636","G2E3-AS1"
"ENSG00000267339","LINC00906"
"ENSG00000169551","CT55"
"ENSG00000163216","SPRR2D"
"ENSG00000169059","VCX3A"
"ENSG00000276972","AC078880.5"
"ENSG00000105388","CEACAM5"
"ENSG00000229967","MAGEA4-AS1"
"ENSG00000243137","PSG4"
"ENSG00000232242","ZYG11AP1"
"ENSG00000248783","AC106771.1"
"ENSG00000170367","CST5"
"ENSG00000225523","IGKV6D-21"
"ENSG00000259129","LINC00648"
"ENSG00000273119","AP005229.2"
"ENSG00000258927","AL133467.2"
"ENSG00000034971","MYOC"
"ENSG00000224237","MICOS10P3"
"ENSG00000234840","LINC01239"
"ENSG00000126233","SLURP1"
"ENSG00000270038","AL133467.4"
"ENSG00000258548","LINC00645"
"ENSG00000267313","AC021504.1"
"ENSG00000134762","DSC3"
"ENSG00000261036","AC113418.1"
"ENSG00000206159","GYG2P1"
"ENSG00000125816","NKX2-4"
"ENSG00000166558","SLC38A8"
"ENSG00000205634","LINC00898"
"ENSG00000268916","CSAG3"
"ENSG00000211654","IGLV5-37"
"ENSG00000134365","CFHR4"
"ENSG00000188089","PLA2G4E"
"ENSG00000123407","HOXC12"
"ENSG00000186297","GABRA5"
"ENSG00000258038","LINC02327"
"ENSG00000180178","FAR2P1"
"ENSG00000266602","AP005262.2"
"ENSG00000236078","LINC01447"
"ENSG00000211968","IGHV1-58"
"ENSG00000229404","LINC00858"
"ENSG00000236921","AL157937.1"
"ENSG00000224045","PAEPP1"
"ENSG00000107807","TLX1"
"ENSG00000204644","ZFP57"
"ENSG00000268104","SLC6A14"
"ENSG00000237412","PRSS56"
"ENSG00000255433","LINC02735"
"ENSG00000162951","LRRTM1"
"ENSG00000157502","PWWP3B"
"ENSG00000223350","IGLV9-49"
"ENSG00000267368","UPK3BL1"
"ENSG00000211935","IGHV1-3"
"ENSG00000243264","IGKV2D-29"
"ENSG00000261116","AL049555.1"
"ENSG00000277693","AP003900.1"
"ENSG00000251539","SNX18P24"
"ENSG00000223850","MYCNUT"
"ENSG00000138271","GPR87"
"ENSG00000211891","IGHE"
"ENSG00000226886","AC093787.1"
"ENSG00000232079","LINC01697"
"ENSG00000250420","AACSP1"
"ENSG00000086548","CEACAM6"
"ENSG00000249341","AC124017.1"
"ENSG00000198889","DCAF12L1"
"ENSG00000251350","LINC02475"
"ENSG00000248740","LINC02428"
"ENSG00000205777","GAGE1"
"ENSG00000240086","AC092969.1"
"ENSG00000268883","PNMA6B"
"ENSG00000248874","C5orf17"
"ENSG00000128610","FEZF1"
"ENSG00000251546","IGKV1D-39"
"ENSG00000143954","REG3G"
"ENSG00000231758","ARHGAP15-AS1"
"ENSG00000227757","AP000282.1"
"ENSG00000215853","RPTN"
"ENSG00000229637","PRAC2"
"ENSG00000234722","LINC01287"
"ENSG00000228966","HOMER2P1"
"ENSG00000262539","AC005829.2"
"ENSG00000259786","LINC02109"
"ENSG00000249345","LINC02405"
"ENSG00000257842","LINC02588"
"ENSG00000259527","LINC00052"
"ENSG00000131914","LIN28A"
"ENSG00000230316","FEZF1-AS1"
"ENSG00000124092","CTCFL"
"ENSG00000109101","FOXN1"
