"cluster1","cluster2"
"TYRP1","TYRP1"
"RPS4Y1","RPS4Y1"
"IGHV3-48","KRT14"
"IGHV3-73","MAGEA3"
"IGHV1-69","KRT5"
"IGKV2-24","MAGEA6"
"CR2","MAGEA12"
"IGKV1-8","DDX3Y"
"IGLV3-9","GABRA3"
"IGLV8-61","KDM5D"
"IGHV2-26","AL162457.2"
"IGLV7-43","KRT6A"
"MAGEA3","CHST9"
"IGHV2-70","NELL1"
"MAGEA12","MAGEC2"
"IGHV4-61","KRT6B"
"IGHV3-72","KRT16"
"IGKV2D-29","MMP13"
"IGHV2-5","PMP2"
"IGHV1-58","SLITRK6"
"IGLV5-45","UGT2B7"
"IGLV9-49","USP9Y"
"IGHV3-13","EIF1AY"
"IGLC7","TXLNGY"
"IGLV3-27","KLK6"
"MAGEA6","HHATL"
"MAGEC2","MAGEC1"
"DDX3Y","PRKY"
"IGHV4-55","KRTAP19-1"
"FCRL1","FRG2DP"
"IGLV1-36","CHMP1B2P"
"IGKV2-30","GJB6"
"IGHV4-4","DSC3"
"IGKV1D-8","UTY"
"IGHV6-1","FAM133A"
"IGKV3D-11","VAX1"
"IGHJ3","LCN2"
"KDM5D","ZFY"
"IGLV2-18","PANTR1"
"AL162457.2","MUC7"
"IGKV3D-15","XIST"
"IGLV10-54","SSX1"
"IGLV4-60","SULT4A1"
"NELL1","LDHC"
"KRT5","LINC01474"
"IGHV3-7","RPSAP53"
"IGKV2D-40","LRRTM4"
"MAGEC1","AL035541.1"
"IGKV1D-16","NMRK2"
"IGKV5-2","CSAG3"
"IGHV2-70D","NR0B1"
"IGKV3-7","PNLIPRP3"
"IGHV3-64","OLIG2"
"ADH1B","NKAIN3-IT1"
"IGHV3-20","DSG3"
"IGKV1-12","KRT1"
"IGHV1-3","NKX2-2"
"IGKV6-21","MKRN9P"
"GABRA3","LINC02552"
"IGKV3OR2-268","CST1"
"PMP2","SERPINB7"
"IGKV1-39","LINC01239"
"IGHV1OR15-2","ZNF560"
"USP9Y","S100A7"
"HHATL","SPRR2D"
"AL035541.1","BBOX1"
"TXLNGY","TFAP2B"
