"cluster1","cluster2","cluster3"
"TYRP1","KRT14","TYRP1"
"RPS4Y1","KRT5","RPS4Y1"
"IGHV3-48","KRT6A","MAGEA3"
"IGHV3-73","KRT16","MAGEA6"
"IGHV1-69","KRT6B","MAGEA12"
"IGKV2-24","KRT1","DDX3Y"
"CR2","KRT6C","GABRA3"
"IGKV1-8","TYRP1","KDM5D"
"IGLV3-9","S100A7","MAGEC2"
"IGLV8-61","SPRR1B","CHST9"
"IGHV2-26","CALML3","NELL1"
"IGLV7-43","KRTDAP","KRT14"
"MAGEA3","CALML5","AL162457.2"
"IGHV2-70","DSC3","KRT5"
"MAGEA12","IVL","MAGEC1"
"IGHV4-61","DSG1","PMP2"
"IGHV3-72","CASP14","USP9Y"
"IGKV2D-29","LY6D","EIF1AY"
"IGHV2-5","SERPINB5","UGT2B7"
"IGHV1-58","GJB6","TXLNGY"
"IGLV5-45","DSG3","MMP13"
"IGLV9-49","SPRR2E","SLITRK6"
"IGHV3-13","KLK5","PRKY"
"IGLC7","KLK7","UTY"
"IGLV3-27","SPRR1A","ZFY"
"MAGEA6","LGALS7B","CHMP1B2P"
"MAGEC2","SPRR2D","HHATL"
"DDX3Y","SPRR2A","FAM133A"
"IGHV4-55","SPRR2G","FRG2DP"
"FCRL1","KLK6","CSAG3"
"IGLV1-36","SERPINB3","MUC7"
"IGKV2-30","PDZK1IP1","KRTAP19-1"
"IGHV4-4","FAM83A","KRT6A"
"IGKV1D-8","KLK11","VAX1"
"IGHV6-1","FGFBP1","MAGEA1"
"IGKV3D-11","MIR205HG","OLIG2"
"IGHJ3","KLK8","SULT4A1"
"KDM5D","FAM83C","MAGEA10"
"IGLV2-18","PLA2G4F","RPSAP53"
"AL162457.2","S100A7A","ZNF560"
"IGKV3D-15","SERPINB13","PANTR1"
"IGLV10-54","FLG2","SSX1"
"IGLV4-60","PLA2G4E","XIST"
"NELL1","KRT75","KRT6B"
"KRT5","LY6G6C","LINC01239"
"IGHV3-7","AKR1B10","LRRTM4"
"IGKV2D-40","DSC1","MKRN9P"
"MAGEC1","LCN2","LDHC"
"IGKV1D-16","WFDC5","NR0B1"
"IGKV5-2","KPRP","NKAIN3-IT1"
"IGHV2-70D","IL36RN","KLK6"
"IGKV3-7","KRT78","LINC01474"
"IGHV3-64","LCE3D","KRT16"
"ADH1B","C10orf99","NKX2-2"
"IGHV3-20","SERPINB4","FAM135B"
"IGKV1-12","ANXA8","AL035541.1"
"IGHV1-3","SDR16C5","NMRK2"
"IGKV6-21","POF1B","CST1"
"GABRA3","CWH43","LINC00668"
"IGKV3OR2-268","CBLC","AC209154.1"
"PMP2","PRSS3","AL117329.1"
"IGKV1-39","LOR","NLGN4Y"
"IGHV1OR15-2","CRCT1","AC009063.3"
"USP9Y","ANXA8L1","LCN2"
"HHATL","SERPINB7","LINC02552"
"AL035541.1","IGFL1","CSAG2"
"TXLNGY","MAB21L4","LINC01446"
"EIF1AY","AL162457.2","AC091544.6"
"XIST","GRHL2","WT1"
"IGKV1D-13","GGT6","TRIM51CP"
"IGHJ2","SDR9C7","AC087379.1"
"IGHV1-45","MUCL1","GJB6"
"SSX1","RPS4Y1","LINC01411"
"PRKY","GPR87","LINC02055"
"UTY","PLA2G4D","BTC"
"CHMP1B2P","KRT2","GABRG3"
"CXCR5","FOXN1","LRRIQ1"
"IGLV3-16","AL049555.1","DSC3"
"FAM133A","LGALS7","HNF4G"
"KRT14","BBOX1","CDH7"
"FRG2DP","LCE3E","AL049839.2"
"IGHV5-78","LCE2A","HOXC12"
"IFNG-AS1","PGLYRP4","SLCO1A2"
"ZFY","SLC6A11","PNLIPRP3"
"IGHV3OR16-9","PGLYRP3","LINC00221"
"UGT2B7","FAM83B","AC036111.1"
"CHST9","PNLIPRP3","LINC01320"
"IGHV1OR15-9","KRT16P6","ERVMER61-1"
"IGHV1-67","SLC39A2","CTCFL"
"IGHJ3P","ADGRF4","CSMD3"
"LINC00221","LCE1C","SLC30A8"
"IGHE","TMPRSS11D","CBLN2"
"MIR8071-2","WFDC12","IGHV1-69"
"COPDA1","BPIFC","GABRA2"
"IGHV3OR16-13","RNASE7","DSCR8"
"SLCO1A2","SLURP1","TFAP2B"
"CSAG3","CDSN","SFRP5"
"LINC00402","MMP13","IGHV3-48"
"IGHV3-35","SLC6A14","EGFEM1P"
"AC135068.2","MUC15","TMEM132D-AS1"
"AC142381.1","FAM25A","AQP4"
"IGKV2-28","SLITRK6","C14orf39"
"IGHV3-71","AC011473.4","SYNPR"
"IGLV3-12","CEACAM6","CRABP1"
"FCAMR","IRX4","SCN7A"
"PAGE5","SPRR2B","SERPINB7"
"LINC01474","KRT13","BBOX1"
"MAGEA1","C1orf68","ADH1B"
"KRTAP19-1","PSAPL1","REG3G"
"GJB6","PLA2G3","LRRTM1"
"LINC01781","TFAP2B","ISL1"
"OLIG2","SERPINA12","AC104129.1"
"PANTR1","EREG","LINC02303"
"IGKV1D-12","PLA2G2F","SEC14L4"
"IGLV1-41","ACER1","NPY6R"
"IGKV1D-39","LCE1A","DPYSL5"
"CTAG2","USH1G","PLPPR1"
"MGAM2","CEACAM5","AL139002.1"
"LINC01502","FOXE1","AL159166.1"
"LINC01320","AL033384.1","LINC02473"
"MKRN9P","IL36G","CTAG2"
"IGKV1D-43","EPGN","MGAM2"
"AC063923.2","RNF222","AC005291.2"
"LINC00488","NELL1","ERBB4"
"MUC7","GJB4","IGKV2-24"
"IGHV3OR16-8","LINC02560","NKX2-5"
"MIR8071-1","LCE1B","LCE2A"
"IGLJ2","RPTN","AC008991.1"
"KLK6","CIDEA","CSAG4"
"LINC01239","SOX21","IGHV3-73"
"CST1","AKR1B15","HTN1"
"IGKV2OR22-4","KRT77","LINC02575"
