"cluster1","cluster2","cluster3","cluster4"
"MAGEA3","TYRP1","KRT14","TYRP1"
"MAGEA6","RPS4Y1","KRT5","RPS4Y1"
"MAGEC2","IGHV3-48","KRT6A","MAGEA3"
"MAGEA12","CR2","KRT16","MAGEA6"
"MAGEC1","IGHV3-73","KRT6B","MAGEA12"
"GABRA3","IGHV1-69","KRT1","DDX3Y"
"LINC00221","IGKV2-24","KRT6C","GABRA3"
"PAGE5","IGLV8-61","TYRP1","KDM5D"
"MAGEA1","IGHV2-26","S100A7","MAGEC2"
"TYRP1","IGLV7-43","SPRR1B","CHST9"
"IGHV3-73","IGLV3-9","CALML3","NELL1"
"RPS4Y1","IGKV1-8","KRTDAP","KRT14"
"IGHV3-48","IGHV2-70","CALML5","AL162457.2"
"MAGEA10","IGHV4-61","DSC3","KRT5"
"IGHV1-69","AL162457.2","IVL","MAGEC1"
"IGKV2-24","IGHV3-72","DSG1","PMP2"
"FAM133A","IGLV3-27","CASP14","USP9Y"
"IGKV1-8","IGLV5-45","LY6D","EIF1AY"
"NELL1","IGHV3-13","SERPINB5","UGT2B7"
"CTAG2","IGHV1-58","GJB6","TXLNGY"
"CR2","IGHV2-5","DSG3","MMP13"
"IGLV3-9","IGKV2D-29","SPRR2E","SLITRK6"
"CSAG3","IGLV9-49","KLK5","PRKY"
"IGHV2-70","IGLC7","KLK7","UTY"
"MAGEA4","DDX3Y","SPRR1A","ZFY"
"IGHV2-26","IGLV1-36","LGALS7B","CHMP1B2P"
"IGLV7-43","FCRL1","SPRR2D","HHATL"
"IGLV8-61","KDM5D","SPRR2A","FAM133A"
"IGHV4-61","IGHV4-4","SPRR2G","FRG2DP"
"IGKV2D-29","IGHV4-55","KLK6","CSAG3"
"SSX1","IGHV6-1","SERPINB3","MUC7"
"LINC01446","IGKV1D-8","PDZK1IP1","KRTAP19-1"
"IGHV3-72","IGKV3D-11","FAM83A","KRT6A"
"IGHV2-5","IGLV10-54","KLK11","VAX1"
"LINC02055","IGKV2D-40","FGFBP1","MAGEA1"
"IGLV9-49","IGKV2-30","MIR205HG","OLIG2"
"IGLC7","IGLV2-18","KLK8","SULT4A1"
"XIST","IGHJ3","FAM83C","MAGEA10"
"IGHV1-58","IGKV5-2","PLA2G4F","RPSAP53"
"MKRN9P","IGKV3D-15","S100A7A","ZNF560"
"OLIG2","IGLV4-60","SERPINB13","PANTR1"
"LINC01287","IGHV3-7","FLG2","SSX1"
"CSAG2","IGHV3-64","PLA2G4E","XIST"
"DSCR8","KRT5","KRT75","KRT6B"
"IGKV2-30","IGKV1D-16","LY6G6C","LINC01239"
"CHMP1B2P","ADH1B","AKR1B10","LRRTM4"
"IGLV5-45","IGKV3-7","DSC1","MKRN9P"
"FRG2DP","IGKV6-21","LCN2","LDHC"
"IGHV4-55","IGHV2-70D","WFDC5","NR0B1"
"HHATL","IGHV3-20","KPRP","NKAIN3-IT1"
"SLCO1A2","AL035541.1","IL36RN","KLK6"
"IGHV3-13","IGKV1-12","KRT78","LINC01474"
"BAGE2","IGHV1-3","LCE3D","KRT16"
"FCRL1","IGKV3OR2-268","C10orf99","NKX2-2"
"AL117329.1","CXCR5","SERPINB4","FAM135B"
"IGHJ3","MAGEA12","ANXA8","AL035541.1"
"DDX3Y","USP9Y","SDR16C5","NMRK2"
"IGLV3-27","IGHV1OR15-2","POF1B","CST1"
"IGLV1-36","IGKV1-39","CWH43","LINC00668"
"IGKV1D-8","PMP2","CBLC","AC209154.1"
"IGHV4-4","TXLNGY","PRSS3","AL117329.1"
"IGKV3D-11","IGHJ2","LOR","NLGN4Y"
"IGLV2-18","MAGEA3","CRCT1","AC009063.3"
"SLC30A8","EIF1AY","ANXA8L1","LCN2"
"IGHV6-1","PRKY","SERPINB7","LINC02552"
"LINC00470","IGLV3-16","IGFL1","CSAG2"
"IGKV3D-15","IGHV1-45","MAB21L4","LINC01446"
"LINC00355","KRT14","AL162457.2","AC091544.6"
"IGHV2-70D","IGHV5-78","GRHL2","WT1"
"KRT5","UTY","GGT6","TRIM51CP"
"IGLV4-60","NELL1","SDR9C7","AC087379.1"
"LINC01194","IGKV1D-13","MUCL1","GJB6"
"IGKV1D-16","IGHE","RPS4Y1","LINC01411"
"IGHV3-7","MIR8071-2","GPR87","LINC02055"
"LINC02163","COPDA1","PLA2G4D","BTC"
"MAGEA11","IFNG-AS1","KRT2","GABRG3"
"LINC00648","IGHJ3P","FOXN1","LRRIQ1"
"IGKV3-7","KRTAP19-1","AL049555.1","DSC3"
"IGKV1-12","ZFY","LGALS7","HNF4G"
"FAM230C","CST1","BBOX1","CDH7"
"ZNF560","LINC00402","LCE3E","AL049839.2"
"IGHV1-3","IGHV1OR15-9","LCE2A","HOXC12"
"UGT2B7","LINC01781","PGLYRP4","SLCO1A2"
"KDM5D","IGLV3-12","SLC6A11","PNLIPRP3"
"AF279873.3","IGHV3OR16-9","PGLYRP3","LINC00221"
"PMP2","LINC01320","FAM83B","AC036111.1"
"AC063923.2","FCAMR","PNLIPRP3","LINC01320"
"IGLV10-54","IGHV3-71","KRT16P6","ERVMER61-1"
"TMEM132D-AS1","AC135068.2","SLC39A2","CTCFL"
"IGHV3-20","IGHV1-67","ADGRF4","CSMD3"
"LINC01474","IGKV1D-12","LCE1C","SLC30A8"
"AC209154.1","MIR8071-1","TMPRSS11D","CBLN2"
"LINC02616","NMRK2","WFDC12","IGHV1-69"
"AL133467.2","AC142381.1","BPIFC","GABRA2"
"ADH1B","IGHV3OR16-13","RNASE7","DSCR8"
"IGKV5-2","HHATL","SLURP1","TFAP2B"
"LINC00488","CHST9","CDSN","SFRP5"
"PANTR1","IGLV1-41","MMP13","IGHV3-48"
"IGKV1-39","TRAV24","SLC6A14","EGFEM1P"
"IGKV3OR2-268","TRBV15","MUC15","TMEM132D-AS1"
"IGKV2D-40","IGKV1D-39","FAM25A","AQP4"
"AC006206.2","IGKV2OR22-4","SLITRK6","C14orf39"
"IGHV3-64","IGHV3-35","AC011473.4","SYNPR"
"LINC00668","MAGEA6","CEACAM6","CRABP1"
"LINC00898","IGKV1D-43","IRX4","SCN7A"
"MAGEB2","IGKV2-28","SPRR2B","SERPINB7"
"CSAG4","MAGEC2","KRT13","BBOX1"
"IGHV1OR15-2","IGLJ2","C1orf68","ADH1B"
"IGKV6-21","AC091544.6","PSAPL1","REG3G"
"AL133467.4","SFRP5","PLA2G3","LRRTM1"
"CHST9","RPSAP53","TFAP2B","ISL1"
"AP003900.1","IGHV1-12","SERPINA12","AC104129.1"
"MUC15","UGT2B7","EREG","LINC02303"
"GNGT1","LINC01502","PLA2G2F","SEC14L4"
"LINC02552","IGHV3OR16-8","ACER1","NPY6R"
"NAA11","IGKV2-29","LCE1A","DPYSL5"
"CASC9","LDHC","USH1G","PLPPR1"
"AC005291.2","KLK6","CEACAM5","AL139002.1"
"USP9Y","IGKV1-33","FOXE1","AL159166.1"
"IGKV1D-13","AC134879.2","AL033384.1","LINC02473"
"AC005291.1","FAM163B","IL36G","CTAG2"
