"cluster1","cluster2","cluster3"
"ENSG00000107165","ENSG00000186847","ENSG00000107165"
"ENSG00000129824","ENSG00000186081","ENSG00000129824"
"ENSG00000211964","ENSG00000205420","ENSG00000221867"
"ENSG00000211976","ENSG00000186832","ENSG00000197172"
"ENSG00000211973","ENSG00000185479","ENSG00000213401"
"ENSG00000241294","ENSG00000167768","ENSG00000067048"
"ENSG00000117322","ENSG00000170465","ENSG00000011677"
"ENSG00000240671","ENSG00000107165","ENSG00000012817"
"ENSG00000211670","ENSG00000143556","ENSG00000046774"
"ENSG00000211638","ENSG00000169469","ENSG00000154080"
"ENSG00000211951","ENSG00000178363","ENSG00000165973"
"ENSG00000211652","ENSG00000188508","ENSG00000186847"
"ENSG00000221867","ENSG00000178372","ENSG00000225106"
"ENSG00000274576","ENSG00000134762","ENSG00000186081"
"ENSG00000213401","ENSG00000163207","ENSG00000155495"
"ENSG00000211970","ENSG00000134760","ENSG00000147588"
"ENSG00000225698","ENSG00000105141","ENSG00000114374"
"ENSG00000243264","ENSG00000167656","ENSG00000198692"
"ENSG00000211937","ENSG00000206075","ENSG00000171234"
"ENSG00000211968","ENSG00000121742","ENSG00000131002"
"ENSG00000211650","ENSG00000134757","ENSG00000137745"
"ENSG00000223350","ENSG00000203785","ENSG00000184564"
"ENSG00000211942","ENSG00000167754","ENSG00000099725"
"ENSG00000211685","ENSG00000169035","ENSG00000183878"
"ENSG00000211658","ENSG00000169474","ENSG00000067646"
"ENSG00000197172","ENSG00000178934","ENSG00000278530"
"ENSG00000046774","ENSG00000163216","ENSG00000010282"
"ENSG00000067048","ENSG00000241794","ENSG00000179083"
"ENSG00000254395","ENSG00000159516","ENSG00000261711"
"ENSG00000163534","ENSG00000167755","ENSG00000268916"
"ENSG00000211655","ENSG00000057149","ENSG00000171195"
"ENSG00000243238","ENSG00000162366","ENSG00000184351"
"ENSG00000276775","ENSG00000147689","ENSG00000205420"
"ENSG00000239819","ENSG00000167757","ENSG00000148704"
"ENSG00000211933","ENSG00000137440","ENSG00000198681"
"ENSG00000211632","ENSG00000230937","ENSG00000205927"
"ENSG00000242887","ENSG00000129455","ENSG00000130540"
"ENSG00000012817","ENSG00000125998","ENSG00000124260"
"ENSG00000211664","ENSG00000168907","ENSG00000214263"
"ENSG00000225106","ENSG00000184330","ENSG00000198028"
"ENSG00000224041","ENSG00000197641","ENSG00000233639"
"ENSG00000211642","ENSG00000143520","ENSG00000126752"
"ENSG00000211639","ENSG00000188089","ENSG00000229807"
"ENSG00000165973","ENSG00000170454","ENSG00000185479"
"ENSG00000186081","ENSG00000204421","ENSG00000234840"
"ENSG00000211938","ENSG00000198074","ENSG00000176204"
"ENSG00000251039","ENSG00000134765","ENSG00000258128"
"ENSG00000155495","ENSG00000148346","ENSG00000166796"
"ENSG00000241244","ENSG00000175121","ENSG00000169297"
"ENSG00000211599","ENSG00000203786","ENSG00000274956"
"ENSG00000211974","ENSG00000136695","ENSG00000167755"
"ENSG00000243063","ENSG00000170423","ENSG00000236849"
"ENSG00000223648","ENSG00000163202","ENSG00000186832"
"ENSG00000196616","ENSG00000188373","ENSG00000125820"
"ENSG00000211946","ENSG00000206073","ENSG00000147724"
"ENSG00000243290","ENSG00000265190","ENSG00000227297"
"ENSG00000211935","ENSG00000170786","ENSG00000077009"
"ENSG00000211611","ENSG00000124429","ENSG00000170373"
"ENSG00000011677","ENSG00000109182","ENSG00000265933"
"ENSG00000233999","ENSG00000142273","ENSG00000276399"
"ENSG00000147588","ENSG00000010438","ENSG00000224271"
"ENSG00000242371","ENSG00000203782","ENSG00000165246"
"ENSG00000259337","ENSG00000169509","ENSG00000261103"
"ENSG00000114374","ENSG00000264230","ENSG00000148346"
"ENSG00000010282","ENSG00000166396","ENSG00000256422"
"ENSG00000227297","ENSG00000188293","ENSG00000268902"
"ENSG00000131002","ENSG00000172478","ENSG00000205628"
"ENSG00000198692","ENSG00000225106","ENSG00000272298"
"ENSG00000229807","ENSG00000083307","ENSG00000184937"
"ENSG00000276566","ENSG00000167741","ENSG00000249910"
"ENSG00000211904","ENSG00000170426","ENSG00000254645"
